"","CIRR_1","CIRR_10","CIRR_11","CIRR_12","CIRR_13","CIRR_14","CIRR_15","CIRR_16","CIRR_17","CIRR_18","CIRR_19","CIRR_2","CIRR_20","CIRR_21","CIRR_22","CIRR_23","CIRR_24","CIRR_25","CIRR_26","CIRR_27","CIRR_28","CIRR_29","CIRR_3","CIRR_30","CIRR_31","CIRR_32","CIRR_33","CIRR_34","CIRR_35","CIRR_36","CIRR_37","CIRR_38","CIRR_39","CIRR_4","CIRR_40","CIRR_41","CIRR_42","CIRR_43","CIRR_44","CIRR_45","CIRR_46","CIRR_47","CIRR_48","CIRR_49","CIRR_5","CIRR_50","CIRR_51","CIRR_52","CIRR_53","CIRR_54","CIRR_55","CIRR_56","CIRR_57","CIRR_58","CIRR_59","CIRR_6","CIRR_7","CIRR_8","CIRR_9","HCC_1","HCC_10","HCC_11","HCC_12","HCC_13","HCC_14","HCC_15","HCC_16","HCC_17","HCC_18","HCC_19","HCC_2","HCC_20","HCC_21","HCC_22","HCC_23","HCC_24","HCC_25","HCC_26","HCC_27","HCC_28","HCC_29","HCC_3","HCC_30","HCC_31","HCC_32","HCC_33","HCC_34","HCC_35","HCC_36","HCC_37","HCC_38","HCC_39","HCC_4","HCC_40","HCC_41","HCC_42","HCC_43","HCC_44","HCC_45","HCC_46","HCC_47","HCC_48","HCC_49","HCC_5","HCC_50","HCC_51","HCC_52","HCC_53","HCC_54","HCC_55","HCC_56","HCC_57","HCC_6","HCC_7","HCC_8","HCC_9","CIRR 01","CIRR 02","CIRR 03","CIRR 04","CIRR 05","CIRR 06","CIRR 07","CIRR 08","CIRR 09","CIRR 10","CIRR 11","CIRR 12","CIRR 13","CIRR 14","CIRR 15","CIRR 16","CIRR 17","CIRR 18","CIRR 19","CIRR 20","CIRR 21","CIRR 22","CIRR 23","CIRR 24","CIRR 25","CIRR 26","CIRR 27","CIRR 28","CIRR 29","CIRR 30","CIRR 31","CIRR 32","CIRR 33","CIRR 34","CIRR 35","CIRR 36","CIRR 37","CIRR 38","CIRR 39","CIRR 40","CIRR 41","CIRR 42","CIRR 43","CIRR 44","CIRR 45","CIRR 46","CIRR 47","CIRR 48","CIRR 49","HCC 01","HCC 02","HCC 03","HCC 04","HCC 05","HCC 06","HCC 07","HCC 08","HCC 09","HCC 10","HCC 11","HCC 12","HCC 13","HCC 14","HCC 15","HCC 16","HCC 17","HCC 18","HCC 19","HCC 20","HCC 21","HCC 22","HCC 23","HCC 24","HCC 25","HCC 26","HCC 27","HCC 28","HCC 29","HCC 30","HCC 31","HCC 32","HCC 33","HCC 34","HCC 35","HCC 36","HCC 37","HCC 38","HCC 39","HCC 40"
"IGLC1",676320000,55315000,50958000,162970000,68486000,108850000,891570000,12055000,106400000,47284000,510180000,4534700,140340000,69788000,179330000,66878000,64491000,50790000,411330000,135630000,167240000,91353000,37470000,137710000,123210000,111360000,214710000,676450000,672230000,162560000,28624000,341400000,272730000,153260000,285090000,179010000,218020000,35553000,195070000,333390000,271190000,127940000,10391000,378910000,416790000,73136000,94303000,70592000,110540000,703200000,548290000,71157000,158930000,1013800000,245140000,948390000,82201000,59489000,90612000,75760000,58300000,291780000,201570000,46730000,220300000,61299000,49168000,97241000,120370000,777390000,817800000,57624000,118820000,296280000,137450000,97900000,119090000,85626000,17632000,60509000,238140000,92002000,92602000,24365000,18761000,297130000,11755000,232040000,232730000,34289000,86820000,53645000,166630000,19706000,48860000,131900000,50528000,456270000,27411000,35016000,148370000,89081000,47945000,84365000,66437000,58422000,17001000,49891000,25610000,154510000,64940000,54299000,105260000,126070000,78521000,5077500,193110000,154330000,172750000,118850000,303400000,357260000,350100000,365040000,229690000,1216300000,352130000,783420000,366510000,542290000,249430000,2.16e+08,1400600000,117870000,690550000,905140000,793920000,244810000,1316400000,547800000,2062400000,621240000,2027200000,1460800000,1429800000,1176100000,3551300000,1126300000,1483300000,1797200000,1.908e+09,1566800000,821210000,405010000,1842900000,4244700000,541950000,1737300000,4626500000,1156900000,580730000,4640100000,3.013e+09,5041600000,1634800000,19024000,201110000,58288000,107090000,47900000,429030000,NA,623540000,99939000,33100000,1688500000,166010000,154860000,679100000,358400000,801560000,77902000,1239300000,118410000,3067200000,808830000,1043500000,1.0591e+10,1834900000,1388600000,1814600000,643040000,935710000,807520000,1597800000,680160000,853790000,2176400000,229310000,299130000,1350700000,2421800000,1020100000,2584200000,1715400000
"QSOX1",40258000,32624000,7554000,17758000,27415000,26711000,12652000,6976600,28913000,12515000,30052000,7029000,13663000,14830000,17947000,29511000,29293000,12041000,17230000,25143000,9481700,12162000,14389000,26503000,12936000,21582000,28588000,20230000,28771000,20375000,12181000,24131000,36048000,15057000,24727000,14672000,20795000,9031400,15132000,11891000,17313000,23292000,16154000,12521000,17708000,2080400,8501200,23117000,34683000,19350000,18673000,14608000,33037000,13918000,50676000,12615000,26255000,14483000,24928000,35500000,37763000,33789000,12416000,14966000,38969000,10842000,26697000,20413000,29267000,17832000,13478000,20914000,15827000,27216000,11972000,16981000,14548000,8412500,6971500,9759600,42914000,12919000,7075900,14162000,6846300,13483000,6539800,27300000,11554000,11718000,23457000,11282000,36931000,13212000,36798000,26038000,2818400,33531000,10293000,14146000,23502000,14366000,13232000,18864000,8020800,6180000,13863000,10474000,11936000,37468000,13296000,11548000,26567000,16216000,51443000,10767000,202290000,218460000,164890000,153320000,133260000,224440000,127100000,96059000,156850000,341070000,201700000,222160000,254540000,498350000,171350000,110030000,182910000,236650000,142930000,252780000,87729000,110180000,323740000,215090000,415770000,234670000,340810000,185220000,244720000,319850000,262380000,210630000,137150000,337720000,244940000,261120000,390230000,211820000,257200000,355920000,190130000,278750000,234040000,160300000,66024000,219900000,206940000,630110000,560640000,79914000,132490000,90625000,115840000,94355000,311520000,78616000,287510000,180320000,51261000,192440000,212660000,181900000,168150000,142770000,308390000,101340000,267910000,117830000,203760000,158250000,223470000,245330000,221170000,176320000,175490000,129280000,73685000,202060000,205530000,186820000,453450000,298210000,79931000,162880000,550050000,256360000,186840000,262450000,309810000
"CHL1",2970100,2111400,NA,1861900,2223900,2876600,2778800,NA,2913700,1716100,2486000,NA,3147300,NA,2788800,1783800,NA,2272800,3197600,3436600,NA,1463400,NA,NA,1651000,1539600,1785800,2200900,2592600,1682100,1560100,NA,2529100,NA,2722700,1890600,2007700,1427700,1755100,1536100,2308600,3611900,NA,1802900,NA,NA,NA,2020000,3031300,1788000,2689200,NA,2459900,2129000,2081700,NA,NA,NA,NA,3744500,2116400,NA,NA,1910500,3175100,NA,2269700,1946800,2517100,NA,NA,2851500,2256400,2647100,2008800,2168800,2631000,1888200,NA,NA,1665300,NA,2138500,NA,NA,2281100,NA,NA,1897600,NA,2468800,1663700,2480500,NA,2622300,2855400,NA,1995400,1976500,NA,1512300,NA,1794600,NA,NA,1560600,NA,2776800,NA,2529500,1865700,1546100,2324500,NA,2285400,NA,NA,46043000,27709000,NA,NA,NA,NA,NA,17966000,29590000,23134000,NA,NA,33582000,26656000,25208000,27836000,28891000,NA,23288000,NA,NA,21769000,16451000,18550000,NA,22720000,16815000,24655000,21381000,27266000,NA,NA,NA,31748000,NA,NA,NA,NA,22253000,NA,20430000,79674000,NA,NA,NA,NA,NA,23114000,NA,23320000,NA,NA,NA,32478000,NA,NA,NA,NA,26940000,37354000,NA,NA,30479000,19815000,NA,NA,NA,18931000,NA,NA,19854000,18894000,NA,NA,NA,NA,34446000,21396000,NA,NA,NA,NA,NA,NA,NA,NA,21933000,NA
"NRP1",NA,NA,NA,NA,5606600,NA,NA,NA,5959100,4552800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4738000,4315800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7577800,NA,5636700,4961200,10461000,3248200,5252600,NA,NA,6693200,NA,4482900,NA,NA,3555500,NA,7394600,NA,15567000,NA,NA,NA,3991100,NA,NA,NA,NA,NA,NA,NA,5335300,NA,NA,NA,NA,NA,4548600,NA,NA,NA,NA,4550200,NA,NA,NA,NA,NA,NA,7077900,NA,2704200,NA,3685600,NA,NA,NA,NA,NA,6258800,NA,NA,NA,5373000,NA,NA,NA,NA,NA,4504300,4012200,NA,NA,NA,NA,NA,NA,NA,NA,4712100,NA,NA,NA,NA,NA,58654000,63190000,NA,NA,NA,NA,NA,NA,NA,197320000,NA,71745000,NA,NA,65324000,NA,NA,70748000,NA,NA,NA,NA,NA,NA,92036000,NA,NA,NA,91535000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66153000,NA,NA,NA,NA,NA,NA,NA,NA,106230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APOL1",20141000,19800000,25235000,14181000,12634000,10526000,10854000,6567500,NA,29674000,8689200,29595000,NA,30386000,13700000,21392000,NA,11808000,10204000,24839000,7732100,16983000,7534700,14481000,16370000,22249000,14563000,3530600,NA,27670000,NA,NA,8232100,8008600,9853700,14666000,NA,19768000,19320000,13254000,12407000,NA,43355000,28740000,18033000,21325000,18695000,27790000,11059000,9066100,14505000,15643000,39256000,NA,NA,12913000,NA,20562000,7227500,33946000,26963000,NA,21253000,17084000,8434500,23347000,41643000,19267000,22978000,19835000,48322000,22927000,41129000,32701000,16505000,26889000,26952000,25851000,26362000,44917000,17461000,28412000,12356000,16469000,14367000,10028000,16439000,NA,6966700,28215000,6096700,38798000,29881000,37274000,11955000,8253100,13942000,10627000,21847000,25931000,9868000,16326000,27992000,14751000,11237000,13117000,21794000,21712000,18967000,16215000,23807000,24161000,20211000,41905000,18285000,30592000,22954000,NA,24017000,56892000,98157000,28298000,108190000,96594000,22590000,NA,52674000,64440000,27806000,20481000,57697000,93023000,37206000,27712000,54375000,52389000,66626000,85722000,85828000,NA,NA,58772000,NA,106860000,NA,48103000,NA,56536000,44451000,18217000,32332000,46267000,31786000,58102000,89874000,NA,22528000,24055000,23166000,44526000,27881000,42312000,42372000,33075000,NA,87981000,32904000,100590000,57835000,68854000,55139000,185310000,NA,56088000,62084000,NA,33303000,62572000,91999000,120330000,51184000,149210000,NA,59202000,53902000,43210000,36772000,66576000,109380000,65264000,75792000,88376000,141960000,37179000,41317000,117960000,37269000,41434000,35714000,25558000,NA,NA,NA,26813000,18904000
"CD5L",372920000,60170000,40831000,103350000,141990000,90133000,229320000,14158000,147400000,55864000,334050000,20074000,223760000,74531000,159430000,58001000,147620000,73233000,235060000,195800000,123610000,229220000,86882000,146120000,100960000,41332000,187070000,608800000,347840000,127120000,43508000,429470000,116580000,86722000,234540000,125260000,127550000,37227000,109610000,84583000,90548000,114620000,30945000,278280000,190480000,47627000,110730000,325320000,257850000,197100000,281990000,19230000,130420000,297010000,230150000,120520000,95458000,42530000,76801000,149690000,203600000,637960000,102130000,69644000,265120000,77777000,62010000,117150000,120290000,84016000,116300000,137690000,66380000,102020000,151070000,50791000,48644000,65136000,18692000,23979000,111620000,81830000,228030000,40453000,34446000,296250000,13789000,214160000,82765000,92213000,129610000,65263000,186190000,33580000,113420000,291340000,65200000,204480000,50371000,84230000,107710000,204710000,43409000,66014000,23437000,118980000,30033000,206230000,29663000,232320000,60611000,54087000,88643000,119100000,228940000,10389000,965050000,2.093e+09,1056700000,754220000,702200000,345130000,191870000,580610000,818690000,1.03e+09,916110000,1180200000,1.074e+09,2169500000,918800000,358520000,1212100000,774400000,1058700000,1397100000,258510000,160920000,288460000,552130000,589710000,1269800000,2988100000,592050000,599490000,928870000,2317900000,678060000,871140000,1673200000,1344200000,1094900000,661190000,373700000,1548600000,1.403e+09,332840000,1369600000,847030000,389680000,441260000,1162100000,1.692e+09,1496400000,2.619e+09,123270000,397070000,285430000,400180000,116270000,2029200000,67841000,1382300000,313760000,98391000,1801200000,764470000,277230000,157130000,696920000,1171500000,209570000,689620000,236480000,1246700000,627040000,1188900000,2978900000,1127400000,979100000,541690000,400780000,471410000,5091600000,571590000,238070000,896010000,754370000,185330000,178120000,1226600000,450900000,548660000,1212900000,910300000
"FCGR3B",NA,NA,NA,3505700,4339800,5486700,NA,NA,3248100,3394600,6724800,NA,4631100,NA,8434600,NA,NA,NA,6340100,NA,NA,NA,NA,3551300,NA,NA,NA,4448500,4335500,3360300,2383400,13208000,6292000,1978300,NA,NA,NA,NA,NA,NA,NA,2741200,NA,NA,NA,NA,NA,NA,6089200,NA,12215000,NA,9605600,3777200,14063000,NA,4231400,NA,4428800,NA,NA,19805000,3589900,NA,5743000,NA,NA,NA,NA,4960800,NA,4545100,3599900,6769000,2913000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5335000,NA,NA,NA,NA,NA,NA,NA,6601700,NA,NA,NA,NA,NA,NA,4554700,NA,NA,NA,2726200,NA,NA,7045600,3325200,8328700,NA,NA,7509500,NA,107540000,NA,171380000,124410000,34395000,71606000,57273000,NA,44512000,285200000,53855000,97983000,71282000,101940000,NA,NA,NA,133570000,95176000,122180000,NA,50652000,55147000,NA,NA,87462000,85508000,NA,58702000,114300000,NA,39970000,NA,142970000,68598000,62704000,55301000,51378000,87421000,84537000,85281000,32765000,90275000,NA,NA,NA,61937000,228430000,96581000,20843000,118870000,23149000,45378000,41394000,39541000,NA,51902000,40791000,NA,103580000,66721000,68848000,NA,44725000,NA,NA,49770000,NA,NA,NA,50366000,59639000,89314000,NA,43491000,33736000,41496000,51369000,49519000,66283000,83156000,42953000,51799000,36711000,NA,83100000,NA,NA,53420000
"FCN3",20382000,18249000,64731000,18671000,43721000,NA,24801000,9464100,19580000,26659000,20579000,31909000,36999000,40931000,38275000,48507000,NA,24148000,19598000,NA,49825000,59971000,47213000,45551000,34775000,125480000,73036000,29730000,36084000,46609000,49848000,37193000,50640000,23605000,39255000,28754000,46536000,42175000,55098000,18527000,35342000,19923000,70638000,44792000,29650000,47271000,42676000,52315000,68142000,25534000,44817000,112140000,163190000,33378000,54287000,40509000,45837000,52623000,37096000,35513000,45831000,42517000,26603000,35029000,20551000,63927000,126840000,38186000,35050000,53728000,24362000,48318000,44362000,45975000,37343000,65429000,47267000,67680000,36058000,28962000,127140000,53160000,54446000,53121000,74549000,43517000,66117000,20238000,28678000,29216000,44460000,81062000,54528000,130740000,57850000,39861000,12896000,33159000,59971000,69070000,23352000,47543000,130640000,100380000,71084000,56691000,76557000,22527000,88713000,40286000,65552000,104530000,55549000,77858000,37521000,70246000,154100000,199280000,225510000,207730000,67479000,120950000,33912000,142700000,77348000,96607000,208980000,241610000,188230000,184580000,254640000,261150000,124550000,172980000,125470000,179980000,178480000,280270000,441080000,330270000,121060000,302980000,244040000,377780000,182650000,226270000,313020000,230710000,207960000,211830000,202640000,241730000,379820000,350990000,299510000,158920000,239270000,325790000,215730000,111140000,197110000,205930000,152220000,838230000,239270000,259770000,256620000,670230000,460590000,337990000,185920000,435730000,125060000,91041000,216320000,142280000,175330000,342510000,120390000,474180000,289070000,328080000,187150000,504590000,64813000,227770000,159680000,248250000,196120000,314220000,311380000,686010000,346250000,238200000,260530000,262760000,129770000,554050000,408360000,337530000,116940000,123780000,105070000,347930000,133770000
"ATRN",44628000,32475000,48024000,32808000,36812000,57365000,46149000,12357000,67158000,53380000,37160000,31599000,47262000,41341000,60411000,39223000,60776000,51477000,31748000,45997000,38088000,38998000,31508000,35868000,36250000,31194000,30533000,39793000,33429000,21732000,29935000,53819000,27712000,41524000,39721000,35422000,26513000,31940000,42442000,30964000,29921000,35186000,28736000,45766000,52222000,60476000,31881000,36861000,65993000,39515000,39849000,34325000,48056000,41083000,67845000,29553000,46037000,34863000,49440000,53381000,44399000,58990000,43654000,40372000,48138000,46718000,41196000,59405000,60196000,34916000,39347000,50957000,40102000,44223000,43198000,52797000,35283000,35688000,24018000,26341000,28064000,43186000,32320000,36870000,24854000,40069000,27429000,32574000,35067000,44116000,36965000,48760000,38444000,29262000,45214000,41675000,51148000,42078000,52723000,47079000,48738000,43399000,72481000,44030000,43120000,43473000,52813000,87865000,45976000,56419000,55963000,47972000,22435000,68357000,60217000,40558000,162340000,150270000,168210000,99558000,117360000,109130000,122080000,118590000,107420000,175070000,135560000,167570000,120890000,204430000,105210000,113630000,91695000,117950000,109470000,160200000,125480000,144160000,140260000,175560000,153170000,132710000,204160000,1.64e+08,192620000,169800000,220630000,107170000,105040000,177260000,168590000,100960000,119670000,90049000,170940000,182200000,149890000,142120000,214400000,94377000,88902000,105220000,130750000,232210000,224140000,73256000,129810000,113810000,138380000,75900000,114120000,80168000,142430000,171240000,63565000,165250000,164210000,106420000,120550000,100170000,154410000,189210000,176610000,131270000,139250000,175660000,92894000,137450000,120300000,154080000,125980000,152520000,102260000,154650000,176660000,110590000,170820000,195780000,105500000,161290000,121330000,194480000,2.06e+08,112360000,161780000
"APOM",18725000,44569000,71578000,44786000,31944000,32126000,21789000,67408000,25462000,108820000,14953000,32687000,29174000,47959000,76112000,45274000,41977000,66397000,46814000,53469000,64740000,51326000,26523000,32727000,76415000,99020000,42941000,22987000,12630000,46775000,62586000,12688000,44722000,41516000,56218000,59437000,32110000,89922000,29477000,38930000,51775000,54796000,72526000,72234000,54609000,47477000,42762000,67969000,73613000,55534000,27174000,72376000,86898000,51972000,11900000,54246000,NA,47579000,35685000,32135000,43032000,NA,66948000,40916000,20788000,39481000,41999000,54046000,64632000,96802000,NA,73483000,53013000,34663000,59734000,71995000,36315000,63114000,65999000,57311000,55561000,20527000,59447000,48522000,54236000,56005000,68993000,50039000,50266000,67250000,56100000,46927000,46544000,100270000,55705000,23934000,76727000,72884000,66426000,64863000,68066000,64449000,107180000,42824000,72261000,78957000,56989000,89195000,74075000,37729000,83202000,75943000,46645000,44082000,37069000,39908000,78185000,34346000,130020000,120600000,249270000,112010000,219780000,314840000,86278000,NA,193640000,117690000,212660000,126690000,292550000,235900000,235890000,154070000,147670000,160490000,298460000,249170000,154050000,85956000,18739000,194410000,64945000,236410000,94279000,240030000,33218000,212890000,134340000,44626000,197420000,164830000,95467000,199010000,224510000,96030000,156730000,135760000,88337000,202660000,118900000,151410000,186290000,NA,113770000,161200000,51908000,282750000,200320000,236330000,143570000,337380000,52187000,387550000,228360000,19742000,243650000,172540000,240210000,352600000,173570000,465860000,43365000,212860000,263610000,257600000,134290000,77703000,231580000,303800000,222850000,343220000,164290000,97849000,107100000,486330000,145680000,83069000,243130000,216980000,165820000,189490000,54939000,173930000,164270000
