"gene","log2FC","P","FDR","VIP","sig","direction"
"SERPING1",-0.34981849802212,6.19634093350025e-07,6.0968043793619e-05,1.68684502302918,FALSE,"down"
"B2M",-0.624092744653593,7.57367003647441e-07,6.0968043793619e-05,1.8424169301324,TRUE,"down"
"CLU",0.267707722000477,2.06722235443112e-06,0.000110940933021137,1.56484093185804,FALSE,"up"
"APOL1",0.707111136507202,3.46858525566819e-06,0.000111688445232516,1.45925905709656,TRUE,"up"
"VCAM1",-0.818965631952545,3.33977541725241e-06,0.000111688445232516,1.40518710521372,TRUE,"down"
"LUM",-0.449781023011099,6.03397974518695e-06,0.000161911789829183,1.37368966360675,FALSE,"down"
"LRG1",-0.32292693236266,4.13887165907112e-05,0.000832947921388062,2.08332747551292,FALSE,"down"
"EFEMP1",-0.622912548017919,3.69166905186168e-05,0.000832947921388062,1.25394032283852,TRUE,"down"
"CFB",0.242309697494898,4.84134087296828e-05,0.000866062089497659,1.26580366469551,FALSE,"up"
"GPLD1",0.465552764783125,7.14015259472884e-05,0.00114956456775134,1.23008832702035,FALSE,"up"
"FCGBP",-0.715211325176679,8.48817219059359e-05,0.00124235974789597,1.20467994574074,TRUE,"down"
"VASN",-0.424489184905352,0.000108560144588336,0.00145651527322684,1.18181827680433,FALSE,"down"
"SERPIND1",0.300303189797392,0.00014155182423591,0.00175306490015242,1.25768234047114,FALSE,"up"
"ORM1",-0.286910760171032,0.000163165193635718,0.00187639972681076,1.98226368363425,FALSE,"down"
"LYVE1",-0.716560103240915,0.00022815183209203,0.00244882966445446,1.33446497209874,TRUE,"down"
"SERPINA3",-0.269360938435551,0.000264143588069331,0.00265794485494765,1.61381122895239,FALSE,"down"
"APOC3",0.836178042825892,0.000511232166019361,0.00416830093471831,1.11591094283218,TRUE,"up"
"VTN",0.199312447188251,0.000543691426267605,0.00416830093471831,1.06923629012036,FALSE,"up"
"ICAM2",-0.594937743617015,0.000498901246772183,0.00416830093471831,1.0712192899993,TRUE,"down"
"PON1",0.371485753093172,0.000516488895376707,0.00416830093471831,1.07151643222822,FALSE,"up"
"ADIPOQ",-1.032771692425,0.00054091122320548,0.00416830093471831,1.13642513138004,TRUE,"down"
"FCN3",0.397997262771926,0.000688736400434388,0.00482115480304071,1.33971080065171,FALSE,"up"
"PLG",0.18680931761833,0.000660895105550791,0.00482115480304071,1.05565779822863,FALSE,"up"
"PLTP",-0.321625864711056,0.000724008972743942,0.00485689352549061,1.03988373441814,FALSE,"down"
"KNG1",0.177350312914755,0.000761179201329692,0.00490199405656322,1.05922151896947,FALSE,"up"
"IGLC1",-0.77239383776683,0.000918718520162936,0.00568898775947049,1.0235635269045,TRUE,"down"
"GC",0.211371467098078,0.000957447929680569,0.0057092265436508,1.11425667848511,FALSE,"up"
"C3",0.202233477170142,0.00105543924941916,0.0058950841005384,1.01238373623204,FALSE,"up"
"PTGDS",-0.556826185015378,0.00109787510819748,0.0058950841005384,1.29849269693848,FALSE,"down"
"COMP",-0.654779934220766,0.00109846287587672,0.0058950841005384,1.10798576812174,TRUE,"down"
"CFD",-0.439242701003727,0.0012183343747779,0.00632747852707232,1.11311004407329,FALSE,"down"
"CRP",-1.02490943415156,0.00132310712641654,0.00665688272978322,0.983691071437041,TRUE,"down"
"CD5L",-0.527844496098528,0.00142259138769722,0.00674403636270007,1.18961153947694,FALSE,"down"
"ECM1",-0.461712984194676,0.00142420643684349,0.00674403636270007,1.00897656639761,FALSE,"down"
"C7",-0.31372721051353,0.00147262719052012,0.00677408507639255,1.1374976616142,FALSE,"down"
"APOC2",0.766392065526321,0.00153213635398766,0.00685205424977813,1.08074257539326,TRUE,"up"
"KLKB1",0.238956739546827,0.0022164320084579,0.00964447441518169,1.11836976290351,FALSE,"up"
"CD14",-0.216484988602931,0.002485464256405,0.0105305196126633,0.958903839519651,FALSE,"down"
"IGHA1",-1.06607088679675,0.00277866069970908,0.0109700694358369,0.938056014353642,TRUE,"down"
"VWF",-0.381151644963107,0.00270016387874433,0.0109700694358369,1.15769407173833,FALSE,"down"
"CFI",0.134329202649005,0.00279362016689015,0.0109700694358369,0.933488911807873,FALSE,"up"
"F13B",0.161178485358784,0.00295591610187734,0.0113310117238631,1.37169855317321,FALSE,"up"
"IGKC",-0.720623821445844,0.00316458090032118,0.0118487796500398,0.969763966243363,TRUE,"down"
"F12",0.256774625666658,0.00339803126451178,0.0121574007463644,1.00965147675052,FALSE,"up"
"APOC1",0.51024901813876,0.00339202591737274,0.0121574007463644,0.934041672520746,FALSE,"up"
"IGLC6",-0.71818119252396,0.00363189886179602,0.0127116460162861,0.901853338294222,TRUE,"down"
"PI16",-0.431750975072714,0.0039700590036652,0.0135995638210659,0.949347756316239,FALSE,"down"
"APOA2",0.328918798530131,0.00405860748941485,0.013613245954079,0.994924514200121,FALSE,"up"
"IGHM",-0.65891174238694,0.00497559350739215,0.0163483786671456,0.927496015529061,TRUE,"down"
"LYZ",-0.493860461067813,0.00606488967108777,0.0195289447409026,1.03452292636965,FALSE,"down"
"HABP2",0.176191996967915,0.00632620689196148,0.0199709668550157,0.846981535419334,FALSE,"up"
"TF",0.684341913071775,0.00774833252081073,0.0235373874688779,0.821958186122814,TRUE,"up"
"CD163",-0.55687746746452,0.0077119605419262,0.0235373874688779,1.12247818032028,FALSE,"down"
"FBLN1",-0.358288608668141,0.00821588958355831,0.0244955226472757,0.998404030065834,FALSE,"down"
"SERPINA4",0.193402166542687,0.00871693893590815,0.0255168576123857,1.04783909841889,FALSE,"up"
"CD44",-0.325361969795627,0.01015035865819,0.0291822811422961,1.10409687033433,FALSE,"down"
"IGFALS",0.377908651684743,0.0128107538671691,0.0361847609230567,0.823239438036365,FALSE,"up"
"LCAT",0.24852896455076,0.0139962193052599,0.0388515742783939,0.808438289875067,FALSE,"up"
"IGHG3",-0.636818805107371,0.0145165866296526,0.0396130584300689,0.821093284284609,TRUE,"down"
"C4BPA",0.369965609969169,0.0161338105959606,0.0432923917658277,0.800708728794798,FALSE,"up"
"RBP4",0.282488048114439,0.0167043083596332,0.0440884204246056,0.931348741774133,FALSE,"up"
"FN1",0.175173054926989,0.0176852307598146,0.0459245508440346,1.00574641844605,FALSE,"up"
"FGA",-0.273652250739024,0.0183287156197479,0.0468400510282446,0.856912060133146,FALSE,"down"
"SELL",-0.269750408391117,0.01990888198698,0.0500832812484965,1.00811476699499,FALSE,"down"
"PROS1",-0.134701765211638,0.0208447556692304,0.0516308563499398,0.739226709700126,FALSE,"down"
"FCGR3B",-0.32547632889611,0.0289799581160438,0.0706935341921674,0.716632968649377,FALSE,"down"
"THBS4",-0.380425733108519,0.0295657019446982,0.0710459404939762,0.673515794472699,FALSE,"down"
"MASP1",0.205774501742001,0.0303325073847867,0.0718166718963333,1.11225874387929,FALSE,"up"
"APOM",0.300806939363945,0.031627943264622,0.0737985342841179,1.00727451044953,FALSE,"up"
"IGJ",-0.540015391687067,0.036060547385423,0.0829392589864729,1.099936061369,FALSE,"down"
"QSOX1",-0.223055520533731,0.0374640757268202,0.0830022421500392,1.16201933281898,FALSE,"down"
"CP",-0.106761143720089,0.0376345569997072,0.0830022421500392,0.66125878979419,FALSE,"down"
"AFM",0.157785105834213,0.0374706662970996,0.0830022421500392,0.940639172673179,FALSE,"up"
"C1QC",-0.275748686312882,0.0416741144233586,0.0894604322954764,0.69332401633128,FALSE,"down"
"CPN1",0.135894425966285,0.0413751432351864,0.0894604322954764,0.64208416823241,FALSE,"up"
"FGB",-0.438508499668745,0.0521606356569396,0.110498188694306,0.603120594956223,FALSE,"down"
"SERPINA7",0.136136092436273,0.0529280585930281,0.110667758876331,0.953530562500002,FALSE,"up"
"SERPINF1",-0.103185350625073,0.0537927561008169,0.11103376579784,0.672971781554211,FALSE,"down"
"CST3",-0.312109290223206,0.0569364841304917,0.116035113227964,0.627455525427346,FALSE,"down"
"ITIH2",0.159066356014487,0.0590562040990282,0.118850610749294,1.3254020335386,FALSE,"up"
"ORM2",-0.141097431253889,0.0641075972860752,0.127423742753804,1.67514258898589,FALSE,"down"
"FGG",-0.451236638258179,0.065610148925601,0.128819926549046,0.652714847182454,FALSE,"down"
"C1S",-0.073779083971088,0.0682345314407774,0.132358548939339,0.649316615208957,FALSE,"down"
"F2",0.0934154831918528,0.072768891648299,0.139473708992573,1.21122122673422,FALSE,"up"
"ICAM1",-0.241839421749791,0.0738788374569719,0.139935209771441,1.08217312229521,FALSE,"down"
"A2M",0.100751741842419,0.0762708201426665,0.142786070267085,1.4416480310133,FALSE,"up"
"CFH",0.0781884365664009,0.0774129906245075,0.143258522879836,1.1154296446984,FALSE,"up"
