"gene","log2FC_GU","P_GU","log2FC_TU","P_TU","concordant","FDR_GU","FDR_TU"
"IGLC1",-0.783030118550514,0.00634637922850854,-0.758826357927386,0.0691372424003844,TRUE,0.0350226112980657,0.166152405123504
"QSOX1",-0.140542968766116,0.351995439965,-0.320096628973701,0.0373119006775174,TRUE,0.477803545371449,0.131460888753483
"APOL1",0.843035945797816,0.000227093903524532,0.508472554047444,0.0108491290622728,TRUE,0.00845924790628881,0.0557420769061602
"CD5L",-0.426540491028693,0.0526877102014376,-0.660166835706114,0.0134582718738922,TRUE,0.157009376400284,0.0646865325551595
"FCN3",0.561103346896846,0.00265551835805597,0.267952396448933,0.112979816523135,TRUE,0.0231958274849858,0.230602639204755
"ATRN",0.140066913316328,0.0678989838820269,-0.0807659534411087,0.348669510491702,FALSE,0.187350899970778,0.494778638697748
"APOM",0.256398153294843,0.140302079926734,0.423977648936638,0.0527991372426069,TRUE,0.312015073269902,0.144084689120355
"CP",-0.0748677171625047,0.301849499097404,-0.142971805262434,0.0411618831470761,TRUE,0.441857156149479,0.131460888753483
"F2",0.0613594203628978,0.364399433779445,0.135937688520187,0.0912911531729638,TRUE,0.484781389581582,0.206096694284418
"C1R",-0.0609295192185471,0.35594760762571,-0.0452625283428958,0.474756334003548,TRUE,0.477803545371449,0.602493510037169
"HP",-0.238915208340547,0.624948648543013,0.659241565389788,0.267467617396154,FALSE,0.689758138021548,0.402552272646737
"F9",0.0907177274280251,0.314648293584398,0.00218472039507134,0.984773319994583,TRUE,0.446500911848336,0.984773319994583
"F10",0.0800602881934793,0.448752640519179,-0.050502434263155,0.470806974575727,FALSE,0.543610922254941,0.602493510037169
"CFD",-0.381744071760949,0.0738893249121582,-0.464403703860501,0.00921812515050303,TRUE,0.189819127791579,0.0548190123955586
"PLG",0.162402669955924,0.00944874319396019,0.226606940952557,0.0219719311093195,TRUE,0.0469287578633356,0.0884815604132056
"F12",0.374034420091657,0.00400124059747103,0.13140474661812,0.236484623957804,TRUE,0.0270993113192356,0.374853286911838
"CFB",0.218534720237177,0.00477271953699037,0.273891672041643,0.00280171150899019,TRUE,0.0296306337921485,0.0278303343226359
"SERPINC1",-0.0158899757736748,0.856685386707286,0.180309349468672,0.0489962201957127,FALSE,0.874288511091682,0.140393015560792
"SERPINA1",-0.0881405395488954,0.816049172449224,0.235379443082142,0.459849231564038,FALSE,0.844384213159266,0.602493510037169
"SERPINA3",-0.276694808271774,0.0039873797666343,-0.259434196852112,0.0259212914317543,TRUE,0.0270993113192356,0.101638747982405
"AGT",0.0169997843445664,0.867277938885361,0.0466496359740773,0.630848245506834,TRUE,0.879077638734142,0.734234166634175
"A2M",0.253968915996069,0.00190968666001211,-0.0693897587469294,0.355467425216495,FALSE,0.0218879471032157,0.49966647506847
"C3",0.108517266243872,0.126282655275578,0.350519374595223,0.00120555472786722,TRUE,0.289478702093247,0.0248362800519769
"C5",0.0449000276731226,0.385496366645984,0.1147859834001,0.0874380161312076,TRUE,0.495163436467687,0.200434836977691
"KNG1",0.161161474523997,0.0287218243430458,0.19603311060753,0.00579540026239991,TRUE,0.0995244610956704,0.0538941360685407
"IGJ",-0.725934203446219,0.0271902199453396,-0.321021131587614,0.452332081540853,TRUE,0.0988132383379415,0.601763215621313
"IGKC",-0.7189244279317,0.016113637336213,-0.723183859807985,0.0999003812602859,TRUE,0.0706156459734042,0.212645097254037
"IGHG3",-0.479715737595267,0.183420915190459,-0.788527732112637,0.0445655901914017,TRUE,0.349187651463143,0.133347839147817
"IGHM",-0.547654090869287,0.0701475746621612,-0.812574242195332,0.0421193350513632,TRUE,0.189819127791579,0.131460888753483
"IGHA1",-0.985027655874685,0.0116453584125986,-1.1399413685111,0.0960681906438415,TRUE,0.0542237001086621,0.207451600085977
"APOA1",0.112067851229462,0.383058645357685,0.139115605996707,0.416493206066083,TRUE,0.495163436467687,0.569334749576572
"APOE",-0.164068431747612,0.179835812945238,-0.0904063912389752,0.494793847933054,TRUE,0.347993975699226,0.619531792790127
"APOA2",0.342516272718878,0.0173922724255062,0.309401532716727,0.103854755525938,TRUE,0.0719846830944563,0.217948712300912
"APOC1",0.416767937156607,0.0723305765757391,0.413851891508781,0.136686789468163,TRUE,0.189819127791579,0.264497813386446
"APOC2",0.650932860826057,0.0346575328926386,1.07950526452769,0.00265755941140018,TRUE,0.114754942244514,0.0278303343226359
"APOC3",0.815929947180727,0.0078875035307865,0.854054537890519,0.0289345719351735,TRUE,0.041972786645971,0.110544903034381
"FGA",-0.188515636911678,0.165384388498863,-0.4090972759954,0.0541526348371803,TRUE,0.342253803976814,0.144084689120355
"FGG",-0.200022262458013,0.505349957553054,-0.782370549558848,0.0531288789356172,TRUE,0.602377149403241,0.144084689120355
"CRP",-1.00166320415898,0.0173568054440991,-1.32062302555007,0.0155754448436909,TRUE,0.0719846830944563,0.0725231650534359
"C1QA",-0.250659575113954,0.26889976135878,-0.237768969672132,0.162468109856625,TRUE,0.426234728111257,0.283451910376345
"C1QB",-0.156905332018795,0.598004206814297,-0.330377308132373,0.0472005208963348,TRUE,0.675019900116138,0.137899561050076
"C1QC",-0.249851468340097,0.229214118618576,-0.315991769565183,0.0715203055113937,TRUE,0.385348170061666,0.169151198749169
"C9",-0.0773705361522019,0.428036720944315,-0.0739114860775665,0.471968996154259,TRUE,0.534838659952372,0.602493510037169
"APOH",0.0563734312135615,0.636275248820259,0.128949339616803,0.37691408871325,TRUE,0.697095677016313,0.524861674937142
"LRG1",-0.322461555060713,0.0018247429380007,-0.323544738546836,0.00855937748244689,TRUE,0.0218879471032157,0.0548190123955586
"FN1",0.120117643793865,0.21252016503206,0.248459836238965,0.0328043526941601,TRUE,0.383311616145004,0.119215818327557
"RBP4",0.167046460937989,0.321330969093257,0.413028202269661,0.0103015593763466,TRUE,0.451682211272597,0.0548190123955586
"AMBP",-0.19876382136416,0.056619453855582,0.163142108255315,0.167407839685358,FALSE,0.165417620087877,0.283451910376345
"ORM1",-0.22159033178729,0.0242535328131597,-0.374729287148512,0.00206738579487295,TRUE,0.0926609330554049,0.0249508320468622
"AHSG",0.157898248264264,0.0825565085723766,0.0398972225797607,0.657788955677282,TRUE,0.201654422578428,0.748172170961183
"TTR",0.0669359974032595,0.657136158178222,-0.182073380260565,0.0396722085830115,FALSE,0.714695529697482,0.131460888753483
"GC",0.216021139566415,0.00889675707971074,0.205047352110761,0.0423498165111891,TRUE,0.0457109243061,0.131460888753483
"PPBP",-0.0374304448426948,0.782948054229899,0.204381352942665,0.214471532002223,FALSE,0.827370638867056,0.351167673278365
"TF",0.784008221431975,0.0109103243572476,0.520549979539457,0.254765018891138,TRUE,0.0524399461041899,0.395416539737287
"HPX",0.166009035277,0.309579988336307,0.238097473117847,0.155776058367921,TRUE,0.444755888508306,0.279646177070123
"KLKB1",0.31871778423249,0.00276039653194415,0.13857397782985,0.239664971853805,TRUE,0.0231958274849858,0.375895587433863
"C4BPA",0.336994750593174,0.118582333283001,0.411629791232457,0.0611486936293074,TRUE,0.276074494674487,0.154426361877403
"VTN",0.20081448261675,0.0028021805015419,0.196918981668151,0.0562813390455278,TRUE,0.0231958274849858,0.144584819272132
"PROC",0.178560641054844,0.21310403621347,0.172335744653793,0.438946646736258,TRUE,0.383311616145004,0.589216669943265
"APOB",-0.0230478566850678,0.776478273864904,0.0717805604245711,0.477072968941066,FALSE,0.826394734327647,0.602493510037169
"LCAT",0.262249044275823,0.0446003456746873,0.215029231805484,0.169618269739871,TRUE,0.138446906365175,0.283967665070121
"HRG",0.159575201317995,0.243880969574295,-0.0352258805495929,0.786277534194909,FALSE,0.403758494072999,0.855148559087894
"A1BG",-0.0765790939080198,0.223949066842301,0.0179282959827134,0.781928779502594,FALSE,0.385348170061666,0.855148559087894
"VWF",-0.320726682959464,0.0804736801852902,-0.448037751214134,0.00995744481224314,TRUE,0.199843262074099,0.0548190123955586
"SHBG",-0.195587171804078,0.195914887452338,-0.0882291522517065,0.528247843400052,TRUE,0.36489147787998,0.639909989159412
"APOD",0.155100253055728,0.299576792991024,-0.0141771971388422,0.915092393084063,FALSE,0.441857156149479,0.953487878108569
"SERPING1",-0.380984871335595,0.000141824065701376,-0.314090915432175,0.00133994992012509,TRUE,0.0077003004735704,0.0248362800519769
"CFI",0.155265853773823,0.0056020133916258,0.104444477438008,0.150073681006038,TRUE,0.0321038459750863,0.272694859389021
"F13B",0.118647736929155,0.0906591958522694,0.217986113569701,0.00979077175915942,TRUE,0.217874519064325,0.0548190123955586
"ICAM1",-0.22125278362433,0.27877502070281,-0.0303769223339607,0.889184025193215,TRUE,0.437236611418092,0.933017040519641
"CLEC3B",0.132930888690371,0.218667700485405,-0.377082752519314,0.00176031753388634,FALSE,0.383311616145004,0.0248362800519769
"SERPINA7",0.232642623159382,0.0202493284270329,0.0249689563891842,0.79933184883378,TRUE,0.0793986825165238,0.857275492464869
"SERPIND1",0.273312482736085,0.00506895691933855,0.339916843166975,0.0114277219244682,TRUE,0.0302109832392578,0.056757685558192
"BCHE",0.438825247920491,0.0193951312411466,-0.0621337227172027,0.799740224514207,FALSE,0.0781047177008335,0.857275492464869
"GSN",0.0288860563167717,0.766506882641088,-0.105856675633447,0.265156167451694,FALSE,0.821651262687209,0.402552272646737
"C2",-0.105677369613637,0.16447633509308,0.124030884043222,0.0388187872576948,FALSE,0.342253803976814,0.131460888753483
"APOA4",-0.0375660292638678,0.801043377160337,-0.252065112339068,0.117636057902601,TRUE,0.837681047117172,0.236861792263346
"PROS1",-0.0560822630553943,0.44252998767096,-0.244159961880197,0.00883422788449726,TRUE,0.540466952155517,0.0548190123955586
"CSF1R",-0.00782408678277235,0.973950470209942,-0.834198121306343,0.00868313678329547,TRUE,0.980531216630279,0.0548190123955586
"C8A",0.0245684327083886,0.738082276698581,-0.00529265868877005,0.948668893177604,FALSE,0.796914921942671,0.96816208961276
"C8B",-0.119184882319495,0.355335566372128,0.112847294307759,0.261876232247849,FALSE,0.477803545371449,0.402263490772469
"GP1BA",-0.189588770193225,0.37615547830881,-0.284275219445096,0.143412771693511,TRUE,0.491641809368533,0.272694859389021
"C8G",-0.0441547831352018,0.513259118204067,0.0438159143246963,0.55432857419528,FALSE,0.606949274701635,0.660759660440773
"SERPINA6",0.0727517214193014,0.310433640301099,-0.117840189367953,0.231682894141569,FALSE,0.444755888508306,0.374853286911838
"CD14",-0.179911620128685,0.0584806122646187,-0.26419969502394,0.0174256546905341,TRUE,0.167569446681311,0.0763653690849875
"CFH",0.0915307500559024,0.0398588876185164,0.0525710833012027,0.550964249401362,TRUE,0.126361154365084,0.660759660440773
"SERPINF2",0.058393496837553,0.392441154865111,-0.0459889266943811,0.563625302783253,FALSE,0.495988255092845,0.66650928662464
"C1S",-0.0710739782916399,0.218228329448223,-0.0767361761347054,0.145243140733418,TRUE,0.383311616145004,0.272694859389021
"C4A",-0.193485225348901,0.23017441030529,0.195876249677298,0.233985836410546,FALSE,0.385348170061666,0.374853286911838
"C4B",-0.409102107619738,0.0507906081608124,0.0936647040651337,0.781887619224539,FALSE,0.154444910529817,0.855148559087894
"IGLC6",-0.966408548349534,0.00172637627343337,-0.28835993804455,0.477142511304603,TRUE,0.0218879471032157,0.602493510037169
"SAA1",-0.597239379088279,0.131241334356006,0.20365867403175,0.71565646393312,FALSE,0.296287254834014,0.801750474631841
"C7",-0.191305363814628,0.155997027822263,-0.463994148912853,0.00217691823227657,TRUE,0.332050816364531,0.0249508320468622
"CLU",0.317504080988964,6.16938853519498e-05,0.209348696189885,0.00894013709402351,TRUE,0.0077003004735704,0.0548190123955586
"MBL2",0.250398567766204,0.292780745164622,-0.251214617735833,0.275155158969311,FALSE,0.441857156149479,0.409981186864273
"C6",0.123898128717752,0.0804737968083622,0.0470514317973034,0.502108795941624,TRUE,0.199843262074099,0.620639043464289
"SELL",-0.00145581576709475,0.992745413387247,-0.588302242949069,0.000455083236544144,TRUE,0.992745413387247,0.0226024674150258
"PVR",-0.155956301663036,0.352683110502648,-0.203943938584661,0.214243830517717,TRUE,0.477803545371449,0.351167673278365
"CPN1",0.0939359049519695,0.286147352014303,0.190389791663936,0.0560013934328656,TRUE,0.441857156149479,0.144584819272132
"CD44",-0.122025382608772,0.497459547032254,-0.583133713702843,0.000351665247572875,TRUE,0.597753810546821,0.0226024674150258
"LBP",-0.19047865161113,0.253456314112882,-0.00333004853928642,0.983765146068235,TRUE,0.414999898932082,0.984773319994583
"VCAM1",-0.535865081769341,0.0265951713760788,-1.15916131439732,0.000237962775950303,TRUE,0.0988132383379415,0.0226024674150258
"ORM2",-0.102907673174869,0.300197519480459,-0.192400088932455,0.119760898857828,TRUE,0.441857156149479,0.237924985730885
"ITIH2",0.101759123429005,0.375610606644607,0.230053769551091,0.0691112702726785,TRUE,0.491641809368533,0.166152405123504
"ITIH1",0.0663541906087559,0.584977427089989,0.18563578235948,0.111457909219652,TRUE,0.670474127972372,0.230602639204755
"GPX3",0.0837917909887622,0.536639585840753,0.0232429732063579,0.93231755607274,TRUE,0.629600773939151,0.95803666106785
"CPN2",0.0382765134692988,0.61478342036336,0.00726235462334301,0.932314755728611,TRUE,0.683602459956273,0.95803666106785
"FBLN1",-0.389126018406557,0.073495180610228,-0.387418756319715,0.0533870251186457,TRUE,0.189819127791579,0.144084689120355
"AZGP1",-0.130964696387423,0.433780191833948,-0.131135328730331,0.635679244938312,TRUE,0.534838659952372,0.734234166634175
"MST1",0.0916624440858058,0.611934110340563,0.177172572316731,0.334594440863208,TRUE,0.683602459956273,0.483643301859564
"PON1",0.472139723118797,0.000155039606850411,0.206976864361067,0.289855350391878,TRUE,0.0077003004735704,0.423527245555332
"CFP",0.190353136076261,0.265657531704315,-0.44303559288667,0.062513973069243,FALSE,0.425623357246698,0.155243033121954
"SERPINA4",0.123085101521955,0.178596868957698,0.294870708313493,0.0161693584998143,TRUE,0.347993975699226,0.0730071035294644
"SAA4",0.234799725425901,0.213527669852869,0.221912313008893,0.504008887645496,TRUE,0.383311616145004,0.620639043464289
